Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
245;21100199124;"International Journal of Sustainable Manufacturing";journal;"17427223, 17427231";0,182;Q4;19;0;28;0;17;28;0,33;0,00;Switzerland;Western Europe;"Inderscience";"2008-2015, 2018, 2020-2021";"Industrial and Manufacturing Engineering (Q3); Social Sciences (miscellaneous) (Q3); Decision Sciences (miscellaneous) (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Decision Sciences; Engineering; Social Sciences"
246;21100795207;"Journal of Telecommunications and the Digital Economy";journal;"22031693";0,182;Q4;14;51;109;1742;81;107;0,69;34,16;Australia;Pacific Region;"Telecommunications Association Inc.";"2015-2023";"Communication (Q3); Media Technology (Q3); Computer Networks and Communications (Q4); Computer Science Applications (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Computer Science; Engineering; Social Sciences"
247;21100827462;"Journal of Advanced Manufacturing Technology";journal;"19853157, 22898107";0,178;Q4;8;14;103;311;42;102;0,60;22,21;Malaysia;Asiatic Region;"Penerbit Universiti Teknikal Malaysia Melaka";"2017-2023";"Automotive Engineering (Q4); Computer Networks and Communications (Q4); Control and Optimization (Q4); Hardware and Architecture (Q4); Industrial and Manufacturing Engineering (Q4); Management of Technology and Innovation (Q4); Software (Q4)";"Business, Management and Accounting; Computer Science; Engineering; Mathematics"
248;20224;"Prometheus: Critical Studies in Innovation";journal;"08109028, 14701030";0,178;Q4;29;14;57;519;30;46;0,50;37,07;United Kingdom;Western Europe;"Pluto Journals";"1983-2017, 2020-2023";"Earth-Surface Processes (Q4); Geography, Planning and Development (Q4); Management of Technology and Innovation (Q4); Research and Theory (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Earth and Planetary Sciences; Nursing; Social Sciences"
249;21101068178;"Journal of Global Business and Trade";journal;"24704733, 19465130";0,177;Q4;4;46;57;2287;77;57;1,58;49,72;United States;Northern America;"International Academy of Global Business and Trade";"2019-2023";"Business and International Management (Q4); Business, Management and Accounting (miscellaneous) (Q4); Development (Q4); Economics and Econometrics (Q4); Finance (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
250;21101068581;"Revista de Contabilidade e Organizacoes";journal;"19826486";0,174;Q4;3;13;38;493;24;36;0,63;37,92;Brazil;Latin America;"Universidade De Sao Paulo";"2021-2023";"Accounting (Q4); Education (Q4); Management of Technology and Innovation (Q4); Organizational Behavior and Human Resource Management (Q4)";"Business, Management and Accounting; Social Sciences"
251;18239;"Relations Industrielles";journal;"0034379X, 17038138";0,173;Q4;33;13;40;615;16;38;0,44;47,31;Canada;Northern America;"";"1996-2011, 2016-2017, 2020, 2022-2023";"Social Sciences (miscellaneous) (Q3); Management of Technology and Innovation (Q4); Organizational Behavior and Human Resource Management (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Social Sciences"
252;21100860389;"International Journal of Information Technology Project Management";journal;"19380232, 19380240";0,169;Q4;9;8;75;423;59;73;0,90;52,88;United States;Northern America;"IGI Global Publishing";"2017-2023";"Communication (Q3); Information Systems and Management (Q4); Management Information Systems (Q4); Management of Technology and Innovation (Q4); Organizational Behavior and Human Resource Management (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
253;21100894868;"Sociologia y Tecnociencia";journal;"19898487";0,165;Q4;4;21;91;766;44;90;0,42;36,48;Spain;Western Europe;"Universidad de Valladolid";"2018-2023";"Sociology and Political Science (Q3); Development (Q4); Health (social science) (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Social Sciences"
254;21101058047;"BioProducts Business";journal;"23781394";0,164;Q4;5;1;11;66;7;11;0,33;66,00;United States;Northern America;"Society of Wood Science and Technology";"2019-2023";"Forestry (Q4); Management of Technology and Innovation (Q4); Marketing (Q4); Strategy and Management (Q4)";"Agricultural and Biological Sciences; Business, Management and Accounting"
255;21101033834;"Review of Applied Socio-Economic Research";journal;"22476172";0,162;Q4;3;25;58;1034;32;53;0,57;41,36;Romania;Eastern Europe;"Pro Global Science Association";"2019-2023";"Social Sciences (miscellaneous) (Q3); Business and International Management (Q4); Economics and Econometrics (Q4); Management of Technology and Innovation (Q4); Marketing (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
256;17500155011;"International Journal of Intelligent Enterprise";journal;"17453232, 17453240";0,161;Q4;13;18;105;770;67;103;0,51;42,78;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2007, 2009, 2012-2023";"Business and International Management (Q4); Management of Technology and Innovation (Q4); Strategy and Management (Q4)";"Business, Management and Accounting"
257;19400157401;"International Journal of Enterprise Network Management";journal;"17481252, 17481260";0,151;Q4;13;20;66;1145;35;65;0,69;57,25;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2007, 2009-2012, 2014-2023";"Business and International Management (Q4); Management of Technology and Innovation (Q4); Management Science and Operations Research (Q4)";"Business, Management and Accounting; Decision Sciences"
