Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
169;4700152484;"Journal of Systems Science and Systems Engineering";journal;"10043756";0,365;Q3;33;36;113;1681;185;112;1,82;46,69;Germany;Western Europe;"Springer Verlag";"2003, 2005-2023";"Control and Systems Engineering (Q3); Information Systems (Q3)";"Computer Science; Engineering"
170;21101058819;"Journal of Robotics and Control (JRC)";journal;"27155056, 27155072";0,361;Q3;20;76;232;6109;735;232;3,44;80,38;Indonesia;Asiatic Region;"Department of Electrical Engineering, Universitas Muhammadiyah Yogyakarta";"2020-2023";"Artificial Intelligence (Q3); Control and Systems Engineering (Q3)";"Computer Science; Engineering"
171;12324;"Computer Systems Science and Engineering";journal;"02676192";0,357;Q3;30;664;577;21432;1529;577;2,69;32,28;United Kingdom;Western Europe;"Tech Science Press";"1985-1988, 1990-2023";"Computer Science (miscellaneous) (Q3); Control and Systems Engineering (Q3); Theoretical Computer Science (Q3)";"Computer Science; Engineering; Mathematics"
172;28511;"Mathematical and Computer Modelling of Dynamical Systems";journal;"13873954";0,356;Q3;38;13;60;585;124;57;2,85;45,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2023";"Applied Mathematics (Q3); Computer Science Applications (Q3); Control and Systems Engineering (Q3); Modeling and Simulation (Q3); Software (Q3)";"Computer Science; Engineering; Mathematics"
173;21101018827;"CIGRE Science and Engineering";journal;"24261335";0,348;Q3;8;50;135;720;72;122;0,50;14,40;France;Western Europe;"CIGRE";"2019-2023";"Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Energy Engineering and Power Technology (Q3); Renewable Energy, Sustainability and the Environment (Q3)";"Energy; Engineering"
174;12961;"Journal of Computer and Systems Sciences International";journal;"10642307, 15556530";0,344;Q3;24;77;242;1569;183;242;0,74;20,38;United States;Northern America;"Pleiades Publishing";"1993-2023";"Applied Mathematics (Q3); Computer Networks and Communications (Q3); Computer Vision and Pattern Recognition (Q3); Control and Systems Engineering (Q3); Information Systems (Q3); Software (Q3); Theoretical Computer Science (Q4)";"Computer Science; Engineering; Mathematics"
175;12400154717;"Jiaotong Yunshu Xitong Gongcheng Yu Xinxi/ Journal of Transportation Systems Engineering and Information Technology";journal;"10096744";0,343;Q3;33;179;608;2742;849;608;1,40;15,32;China;Asiatic Region;"Science China Press";"2008-2023";"Computer Science Applications (Q3); Control and Systems Engineering (Q3); Modeling and Simulation (Q3); Transportation (Q3)";"Computer Science; Engineering; Mathematics; Social Sciences"
176;17500155101;"Lecture Notes in Business Information Processing";book series;"18651348";0,339;Q3;63;664;1884;16465;2195;1618;1,16;24,80;Germany;Western Europe;"Springer Verlag";"2008-2023";"Business and International Management (Q3); Control and Systems Engineering (Q3); Information Systems (Q3); Information Systems and Management (Q3); Management Information Systems (Q3); Modeling and Simulation (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering; Mathematics"
177;21100244211;"International Journal of Mechanics and Control";journal;"15908844";0,337;Q3;15;31;94;964;106;91;0,95;31,10;Italy;Western Europe;"Levrotto and Bella";"2010-2023";"Computational Mechanics (Q2); Control and Systems Engineering (Q3)";"Engineering"
178;24950;"Automation and Remote Control";journal;"16083032, 00051179";0,328;Q3;41;84;446;2022;374;443;0,75;24,07;United States;Northern America;"Pleiades Publishing";"1973, 1999-2023";"Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3)";"Engineering"
179;19900192159;"International Journal of Sensor Networks";journal;"17481287, 17481279";0,325;Q3;36;60;208;2327;271;208;1,32;38,78;United Kingdom;Western Europe;"Inderscience";"2006-2023";"Computer Networks and Communications (Q3); Computer Science Applications (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3)";"Computer Science; Engineering"
180;19600157919;"Archives of Control Sciences";journal;"12302384";0,321;Q3;25;36;105;1096;156;105;1,39;30,44;Poland;Eastern Europe;"Polish Academy of Sciences, Committee of Automatic Control and Robotics";"2009-2023";"Control and Optimization (Q3); Control and Systems Engineering (Q3); Modeling and Simulation (Q3)";"Engineering; Mathematics"
